,SecurityID,ZXF
412,000939.SZE,20
413,000948.SZE,62
414,000949.SZE,22
415,000950.SZE,35
416,000951.SZE,30
417,000952.SZE,35
418,000953.SZE,22
419,000955.SZE,34
420,000957.SZE,30
421,000958.SZE,20
422,000959.SZE,21
423,000960.SZE,12
424,000961.SZE,42
425,000962.SZE,12
426,000963.SZE,35
427,000965.SZE,42
428,000966.SZE,20
429,000967.SZE,20
430,000968.SZE,10
431,000969.SZE,12
432,000970.SZE,60
433,000971.SZE,61
434,000972.SZE,37
435,000973.SZE,22
436,000975.SZE,12
437,000976.SZE,26
438,000977.SZE,62
439,000978.SZE,32
440,000980.SZE,30
441,000981.SZE,42
442,000982.SZE,34
443,000983.SZE,11
444,000985.SZE,10
445,000987.SZE,41
446,000988.SZE,60
447,000989.SZE,35
448,000990.SZE,22
449,000993.SZE,20
450,000995.SZE,36
451,000996.SZE,41
452,000997.SZE,62
453,000998.SZE,37
454,000999.SZE,35
455,001696.SZE,26
456,001872.SZE,50
457,001896.SZE,20
458,001914.SZE,42
459,001965.SZE,50
460,001979.SZE,42
461,002001.SZE,35
462,002002.SZE,22
463,002003.SZE,34
464,002004.SZE,22
465,002005.SZE,60
466,002006.SZE,26
467,002007.SZE,35
468,002008.SZE,60
469,002009.SZE,26
470,002010.SZE,50
471,002011.SZE,26
472,002012.SZE,25
473,002013.SZE,28
474,002014.SZE,25
475,002015.SZE,22
476,002016.SZE,42
477,002017.SZE,61
478,002019.SZE,35
479,002020.SZE,35
480,002021.SZE,26
481,002022.SZE,35
482,002023.SZE,26
483,002024.SZE,31
484,002025.SZE,28
485,002026.SZE,26
486,002027.SZE,63
487,002028.SZE,27
488,002029.SZE,34
489,002030.SZE,35
490,002031.SZE,26
491,002032.SZE,33
492,002033.SZE,32
493,002034.SZE,20
494,002035.SZE,33
495,002036.SZE,60
496,002037.SZE,22
497,002038.SZE,35
498,002039.SZE,20
499,002040.SZE,50
500,002041.SZE,37
501,002042.SZE,34
502,002043.SZE,24
503,002044.SZE,35
504,002045.SZE,60
505,002046.SZE,26
506,002047.SZE,23
507,002048.SZE,30
508,002049.SZE,60
509,002050.SZE,33
510,002051.SZE,23
511,002052.SZE,60
512,002053.SZE,22
513,002054.SZE,22
514,002055.SZE,60
515,002056.SZE,60
516,002057.SZE,21
517,002058.SZE,26
518,002059.SZE,32
519,002060.SZE,23
520,002061.SZE,22
521,002062.SZE,23
522,002063.SZE,62
523,002064.SZE,22
524,002065.SZE,62
525,002066.SZE,24
526,002067.SZE,25
527,002068.SZE,22
528,002069.SZE,37
529,002071.SZE,63
530,002072.SZE,62
531,002073.SZE,26
532,002074.SZE,27
533,002075.SZE,21
534,002076.SZE,33
535,002077.SZE,42
536,002078.SZE,25
537,002079.SZE,60
538,002080.SZE,24
539,002081.SZE,23
540,002082.SZE,12
541,002083.SZE,34
542,002084.SZE,25
543,002085.SZE,30
544,002086.SZE,37
545,002087.SZE,34
546,002088.SZE,24
547,002089.SZE,61
548,002090.SZE,62
549,002091.SZE,31
550,002092.SZE,22
551,002093.SZE,61
552,002094.SZE,22
553,002095.SZE,63
554,002096.SZE,22
555,002097.SZE,26
556,002098.SZE,34
557,002099.SZE,35
558,002100.SZE,37
559,002101.SZE,30
560,002102.SZE,31
561,002103.SZE,63
562,002104.SZE,61
563,002105.SZE,26
564,002106.SZE,60
565,002107.SZE,35
566,002108.SZE,22
567,002109.SZE,22
568,002110.SZE,21
569,002111.SZE,28
570,002112.SZE,27
571,002113.SZE,63
572,002114.SZE,12
573,002115.SZE,61
574,002116.SZE,23
575,002117.SZE,25
576,002118.SZE,35
577,002119.SZE,60
578,002120.SZE,50
579,002121.SZE,27
580,002122.SZE,26
581,002123.SZE,63
582,002124.SZE,37
583,002125.SZE,22
584,002126.SZE,30
585,002127.SZE,31
586,002128.SZE,11
587,002129.SZE,27
588,002130.SZE,60
589,002131.SZE,63
590,002132.SZE,26
591,002133.SZE,42
592,002134.SZE,60
593,002135.SZE,23
594,002136.SZE,22
595,002137.SZE,63
596,002138.SZE,60
597,002139.SZE,60
598,002140.SZE,23
599,002141.SZE,60
600,002142.SZE,40
601,002144.SZE,34
602,002145.SZE,22
603,002146.SZE,42
604,002147.SZE,42
605,002148.SZE,61
606,002149.SZE,12
607,002150.SZE,26
608,002151.SZE,28
609,002152.SZE,62
610,002153.SZE,62
611,002154.SZE,34
612,002155.SZE,12
613,002156.SZE,60
614,002157.SZE,37
615,002158.SZE,26
616,002159.SZE,32
617,002160.SZE,12
618,002161.SZE,61
619,002162.SZE,24
620,002163.SZE,24
621,002164.SZE,26
622,002165.SZE,22
623,002166.SZE,35
624,002167.SZE,12
625,002168.SZE,63
626,002169.SZE,27
627,002170.SZE,22
628,002171.SZE,12
629,002172.SZE,10
630,002173.SZE,35
631,002174.SZE,63
632,002175.SZE,63
633,002176.SZE,26
634,002177.SZE,62
635,002178.SZE,23
636,002179.SZE,28
637,002180.SZE,60
638,002181.SZE,63
639,002182.SZE,12
640,002183.SZE,50
641,002184.SZE,26
642,002185.SZE,60
643,002186.SZE,32
644,002187.SZE,31
645,002188.SZE,63
646,002189.SZE,60
647,002190.SZE,28
648,002191.SZE,25
649,002192.SZE,12
650,002193.SZE,34
651,002194.SZE,61
652,002195.SZE,62
653,002196.SZE,26
654,002197.SZE,60
655,002198.SZE,35
656,002199.SZE,60
657,002200.SZE,37
658,002201.SZE,24
659,002202.SZE,27
660,002203.SZE,12
661,002204.SZE,26
662,002205.SZE,24
663,002206.SZE,10
664,002207.SZE,26
665,002208.SZE,42
666,002209.SZE,26
667,002210.SZE,50
668,002211.SZE,22
669,002212.SZE,27
670,002213.SZE,30
671,002214.SZE,28
672,002215.SZE,22
673,002216.SZE,36
674,002217.SZE,60
675,002218.SZE,27
676,002219.SZE,35
677,002220.SZE,37
678,002221.SZE,10
679,002222.SZE,60
680,002223.SZE,35
681,002224.SZE,22
682,002225.SZE,24
683,002226.SZE,22
684,002227.SZE,27
685,002228.SZE,25
686,002229.SZE,25
687,002230.SZE,62
688,002231.SZE,61
