,[1]SecuCode,[2]TradingDay,[3]Weight,ZXF,NewWeight
214,000703.SZE,20191231,0.115,10,0.17212352778712217
215,601117.SSE,20191231,0.115,23,0.17426341242262572
216,600170.SSE,20191231,0.114,23,0.1727480784015594
217,000596.SZE,20191231,0.113,36,0.08126990650364738
218,002601.SZE,20191231,0.113,22,0.16643386009120625
219,600085.SSE,20191231,0.112,35,0.10991167811579979
220,300024.SZE,20191231,0.111,26,0.16755369635995485
221,002739.SZE,20191231,0.109,63,0.1629845409715027
222,601018.SSE,20191231,0.109,50,0.16446702820003106
223,601881.SSE,20191231,0.109,41,0.04454434000817327
224,601878.SSE,20191231,0.108,41,0.044135676338373515
225,603833.SSE,20191231,0.107,25,0.1574435814388363
226,000413.SZE,20191231,0.107,60,0.12987688572914857
227,002252.SZE,20191231,0.107,35,0.10500490677134443
228,000630.SZE,20191231,0.107,12,0.1621225247200893
229,600489.SSE,20191231,0.106,12,0.16060736093765857
230,600369.SSE,20191231,0.106,41,0.04331834899877401
231,002916.SZE,20191231,0.105,60,0.12744928038841682
232,300070.SZE,20191231,0.105,20,0.1591240589075115
233,002081.SZE,20191231,0.103,23,0.15607940416982996
234,600038.SSE,20191231,0.102,28,0.15046602067252587
235,600535.SSE,20191231,0.102,35,0.10009813542688908
236,000627.SZE,20191231,0.101,41,0.04127503064977523
237,000671.SZE,20191231,0.1,42,0.14503061569478773
238,601066.SSE,20191231,0.099,41,0.04045770331017572
239,600482.SSE,20191231,0.098,28,0.1445653924108582
240,600760.SSE,20191231,0.096,28,0.14161507828002437
241,600118.SSE,20191231,0.092,28,0.13571445001835666
242,600153.SSE,20191231,0.092,50,0.13881620728809962
243,002153.SZE,20191231,0.091,62,0.13778936322228938
244,002032.SZE,20191231,0.091,33,0.12149532710280374
245,000629.SZE,20191231,0.091,21,0.13680677518149256
246,601992.SSE,20191231,0.09,70,0.1382644022673264
247,603156.SSE,20191231,0.089,36,0.06400904140552757
248,600655.SSE,20191231,0.088,31,0.14246244953766649
249,002607.SZE,20191231,0.088,70,0.13519185999471914
250,600027.SSE,20191231,0.087,20,0.13184564880908095
251,600663.SSE,20191231,0.086,42,0.12472632949751743
252,000723.SZE,20191231,0.084,11,0.12448438197338733
253,002938.SZE,20191231,0.083,60,0.1007456216403676
254,601808.SSE,20191231,0.082,10,0.12273155894386102
255,600977.SSE,20191231,0.082,63,0.12261222348314882
256,002558.SZE,20191231,0.08,63,0.11962168144697445
257,300433.SZE,20191231,0.079,60,0.09589041095890409
258,000709.SZE,20191231,0.079,21,0.11876632131140565
259,601238.SSE,20191231,0.079,30,0.11970127206609214
260,601633.SSE,20191231,0.077,30,0.11667086011505183
261,600297.SSE,20191231,0.077,30,0.11667086011505183
262,601216.SSE,20191231,0.077,22,0.11341068342498126
263,600398.SSE,20191231,0.074,34,0.11180969841342762
264,600848.SSE,20191231,0.071,42,0.10297173714329927
265,002773.SZE,20191231,0.07,35,0.06869479882237486
266,600816.SSE,20191231,0.07,41,0.028606456885982838
267,601360.SSE,20191231,0.069,63,0.10317370024801548
268,002411.SZE,20191231,0.069,22,0.10162775527693127
269,601577.SSE,20191231,0.068,40,0.029177393649626092
270,600188.SSE,20191231,0.068,11,0.10077307112131356
271,601898.SSE,20191231,0.067,11,0.09929111419305894
272,002010.SZE,20191231,0.066,50,0.099585540011028
273,002294.SZE,20191231,0.061,35,0.059862610402355236
274,600733.SSE,20191231,0.059,30,0.08939715255568906
275,601319.SSE,20191231,0.059,41,0.02411115651818553
276,600998.SSE,20191231,0.058,35,0.05691854759568203
277,000898.SZE,20191231,0.058,21,0.08719552703875352
278,600566.SSE,20191231,0.057,35,0.05593719332679096
279,600989.SSE,20191231,0.056,22,0.08248049703635
280,600372.SSE,20191231,0.055,28,0.08113363859793062
281,600025.SSE,20191231,0.055,20,0.08335069752298221
282,600233.SSE,20191231,0.052,50,0.07846133455414327
283,000415.SZE,20191231,0.051,41,0.020841847159787492
284,601236.SSE,20191231,0.049,41,0.020024519820187985
285,002841.SZE,20191231,0.045,60,0.05462112016646436
286,002468.SZE,20191231,0.043,50,0.06488148818900308
287,600968.SSE,20191231,0.043,10,0.06435923212909785
288,601212.SSE,20191231,0.04,12,0.06060655129722965
289,002939.SZE,20191231,0.034,41,0.013894564773191663
290,601828.SSE,20191231,0.033,31,0.05342341857662494
291,601698.SSE,20191231,0.033,28,0.048680183158758376
292,603260.SSE,20191231,0.03,12,0.045454913472922236
293,600390.SSE,20191231,0.03,41,0.012259910093992642
294,002958.SZE,20191231,0.029,40,0.012443300232928774
295,002945.SZE,20191231,0.029,41,0.011851246424192888
296,600928.SSE,20191231,0.028,40,0.01201422091455192
297,601162.SSE,20191231,0.028,41,0.011442582754393135
298,601298.SSE,20191231,0.024,50,0.03621292364037382
299,600299.SSE,20191231,0.024,36,0.017260865098119794
